Account: NYC Alliance for Downtown New York
User: Sarah
Generated On: 03/29/2018
Filters: 
Streams: All
Groups: All
Components: All
Status: All


"Description","Serial","Streams","Model","Capacity","Status","Fullness Threshold","Age Threshold","Last Called","Lat","Lng"
"N/E/C Trinity Pl & Morris St","2403974","Trash","HC4","High","In Service","60%","Disabled","6 hours ago","40.70621388164192","-74.01429501562194"
"N/E/C Trinity Pl & Morris St","2403974-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.70621388164192","-74.01429501562194"
"N/E/C Trinity Pl & Thames St","2403964","Trash","HC4","High","In Service","60%","Disabled","8 hours ago","40.70906855266513","-74.01210499196128"
"N/E/C Trinity Pl & Thames St","2403964-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.70906855266513","-74.01210499196128"
"N/E/C Vesey St & Church St","2403816","Trash","HC4","High","In Service","60%","Disabled","8 hours ago","40.7121209979447","-74.01004448157994"
"N/E/C Vesey St & Church St","2403816-left","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.7121209979447","-74.01004448157994"
"N/E/C W Broadway & Park Pl","2403832","Trash","HC4","High","In Service","60%","Disabled","7 hours ago","40.713874628826204","-74.01039168095093"
"N/E/C W Broadway & Park Pl","2403832-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.713874628826204","-74.01039168095093"
"N/E/C Wall st & Pearl st","2404016","Trash","HC4","High","In Service","60%","Disabled","10 hours ago","40.70550002593084","-74.00781482091884"
"N/E/C Wall st & Pearl st","2404016-right","Bottles/Cans","SCC4","Standard","In Service","60%","Disabled","","40.70550002593084","-74.00781482091884"
"N/E/C Water & Old Slip","2404258","Trash","HC4","High","In Service","60%","Disabled","2 hours ago","40.7041191996419","-74.00861356560665"
"N/E/C Water & Old Slip","2404258-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.7041191996419","-74.00861356560665"
"N/E/C Water St & John St","2404026","Trash","HC4","High","In Service","60%","Disabled","2 hours ago","40.70685227525457","-74.00489386440069"
"N/E/C Water St & John St","2404026-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.70685227525457","-74.00489386440069"
"N/E/C Water St & Whitehall St (inside bumpout)","2404050","Trash","HC4","High","In Service","60%","Disabled","19 minutes ago","40.70251166228679","-74.01278028280336"
"N/E/C Water St & Whitehall St (inside bumpout)","2404050-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.70251166228679","-74.01278028280336"
"N/E/C Water St. & Broad St","1401728","Trash","HC4","High","In Service","60%","Disabled","4 hours ago","40.702908365523854","-74.01141374047546"
"N/E/C Water St. & Broad St","1401728-right","Paper","SCC4","Standard","In Service","80%","Disabled","","40.702908365523854","-74.01141374047546"
"N/E/C West St & Rector St","2403971","Trash","HC4","High","In Service","60%","Disabled","9 hours ago","40.7084921385685","-74.01511644213275"
"N/E/C West St & Rector St","2403971-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.7084921385685","-74.01511644213275"
"N/E/C Whitehall St & Stone St","2403929","Trash","HC4","High","In Service","60%","Disabled","11 hours ago","40.70409586700666","-74.01315048465574"
"N/E/C Whitehall St & Stone St","2403929-left","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.70409586700666","-74.01315048465574"
"N/E/C William St & Cedar St","2404257","Trash","HC4","High","In Service","60%","Disabled","2 hours ago","40.707390765493706","-74.00849545274394"
"N/E/C William St & Cedar St","2404257-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.707390765493706","-74.00849545274394"
"N/E/C William St & Fulton St","2404254","Trash","HC4","High","In Service","60%","Disabled","9 hours ago","40.709593565456856","-74.00618592327885"
"N/E/C William St & Fulton St","2404254-right","Paper","SCC4","Standard","In Service","80%","Disabled","","40.709593565456856","-74.00618592327885"
"N/E/C Williams St. & Exchange Pl","2404187","Trash","HC4","High","In Service","60%","Disabled","9 hours ago","40.70582168260205","-74.009792145998"
"N/E/C Williams St. & Exchange Pl","2404187-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.70582168260205","-74.009792145998"
"N/W/C  Water St & Hanover Sq","2404185","Trash","HC4","High","In Service","60%","Disabled","18 minutes ago","40.70412922579575","-74.00894649191866"
"N/W/C  Water St & Hanover Sq","2404185-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.70412922579575","-74.00894649191866"
"N/W/C Barclays & Church St","1401735","Trash","HC4","High","In Service","60%","Disabled","4 hours ago","40.71291879714952","-74.00977285594541"
